sent,headline,headline_clean
neutral,Metso Paper 's delivery will comprise an Advantage DCT 200 tissue machine including quality control and distributed control systems ( QCS-DCS ) .,Metso Paper delivery comprise Advantage dct tissue machine include quality control distribute control system QCSDCS
neutral,Net sales in 2007 totalled EUR 329 million and the operating margin was above 19 % .,net sale total EUR million operating margin
positive,"Nevertheless , Fitch notes that the business fundamentals of the three banks currently remain sound .",nevertheless Fitch note business fundamental three bank currently remain sound
positive,"Nokia controls more than 50 percent of phone sales in India and Africa , and has a strong prosition on most other emerging markets .",Nokia control percent phone sale India Africa strong prosition emerge market
neutral,"Nokia will provide Indosat turnkey services , including civil works , network planning , implementation and integration of a WCDMA 3G-HSPA network .",Nokia provide Indosat turnkey service include civil work network plan implementation integration WCDMA GHSPA network
positive,NORDIC BUSINESS REPORT-26 June 2006-Metso Corporation wins EUR50m equipment order in Australia -_ 1998-2006 M2 COMMUNICATIONS LTD The Finnish engineering and technology group Metso Corporation said on Monday ( 26 June ) that it has received a EUR50m equipment order in Australia .,NORDIC BUSINESS REPORT June Metso Corporation win EURm equipment order Australia _ COMMUNICATIONS LTD finnish engineering technology group Metso Corporation say Monday June receive eurm equipment order Australia
positive,"Of the sales price , a sales gain of some 3.1 mln euro ( $ 4.5 mln ) will be recognized in Incap 's earnings for 2007 .",sale price sale gain mln euro mln recognize Incap earning
positive,Outotec 's net profit for the second quarter of 2007 jumped to 16.8 mln euro ( $ 23.1 mln ) from 4.6 mln euro ( $ 6.3 mln ) a year ago .,outotec net profit second quarter jump mln euro mln mln euro mln year ago
positive,Panostaja Oyj s ( Panostaja ) Board of Directors decided on 16 December 2010 on a new long-term incentive and commitment plan for members of the management team .,Panostaja Oyj Panostaja Board Directors decide December new longterm incentive commitment plan member management team
positive,"Pioneer Library System was one of 127 libraries , municipalities , arts , culture and higher education and science organizations to have been awarded grants to participate in The Big Read , the largest federal reading program in U.S. history .",Pioneer Library System one library municipality art culture high education science organization award grant participate Big Read large federal reading program yous history
positive,Pretax profit jumped to EUR 21.9 million from EUR 3.1 million .,pretax profit jump EUR million EUR million
positive,"Profitability ( EBIT % ) was 13.9 % , compared to 13.1 % in the previous-year period .",profitability EBIT compare previousyear period
positive,Raute Corporation has received orders worth over EUR 12 million from OOO Ilim Bratsk DOK in Russia .,Raute Corporation receive order worth EUR million OOO Ilim Bratsk DOK Russia
positive,"Recovery has been evident in the liquid handling business , particularly in areas outside Europe and primarily in North America and Asia .",recovery evident liquid handling business particularly area outside Europe primarily North America Asia
positive,"Sales improved to SEK 1,553 mn , compared with SEK 1,408 mn .",sale improve SEK mn compare SEK mn
positive,"Savon koulutuskuntayhtyma , Finland based company has awarded contract for specialist agricultural or forestry machinery .",Savon koulutuskuntayhtyma Finland base company award contract specialist agricultural forestry machinery
positive,SKF 6 April 2010 - Alandsbanken has given a `` buy '' recommendation on Swedish industrial company SKF AB ( STO : SKF B ) with a share price target of SEK150 .,SKF April Alandsbanken give ` ` buy recommendation swedish industrial company SKF AB STO SKF B share price target SEK
positive,Sony Ericsson and Nokia dominated the list of best-selling handsets with five models each .,Sony Ericsson Nokia dominate list bestselle handset five model
positive,"Speaking to just-drinks today , a spokesperson for Olvi said : `` We have performed very well in all four countries we operate in - namely , Finland , Estonia , Latvia and Lithuania . ''",speak justdrinks today spokesperson Olvi say ` ` perform well four country operate namely Finland Estonia Latvia Lithuania
positive,Sports equipment sales also progressed well owing to the prolonged winter season .,sport equipment sale also progress well owe prolonged winter season
positive,Stockmann MasterCard has widened the scope of this cooperation to Estonia and Latvia .,Stockmann MasterCard widen scope cooperation Estonia Latvia
neutral,Stora Enso will record a capital gain of EUR 33 million as a non-recurring financial item in its fourth quarter 2006 results .,Stora Enso record capital gain EUR million nonrecurre financial item fourth quarter result
positive,TELE2 Affarsvarlden gave a `` buy '' recommendation on mobile operator Tele2 AB and a share price target of 142 crowns ( $ 23.54 - 15.19 euro ) .,TELE Affarsvarlden give ` ` buy recommendation mobile operator Tele AB share price target crown euro
positive,That topped consensus forecasts for earnings of 0.21 euros a share .,top consensus forecast earning euro share
positive,The acquisition of Kaupthing Sverige will bring a significant positive non-recurring addition to the group 's performance .,acquisition Kaupthing Sverige bring significant positive nonrecurre addition group performance
positive,The acquisition will have an immediate positive impact on Aspocomp 's financial result .,acquisition immediate positive impact Aspocomp financial result
positive,The amending of the proposal simplifies the proposed plan and increases the incentive for key employees to stay in the Company .,amending proposal simplify propose plan increase incentive key employee stay company
positive,"The Australian company Mirabela Nickel has awarded Outokumpu Technology a contract for grinding technology for its nickel sulfide project in Bahia State , Brazil .",australian company Mirabela Nickel award Outokumpu Technology contract grind technology nickel sulfide project Bahia State Brazil
positive,"The broker has initiated both Palfinger AG and Konecranes OYJ with ` buy ' recommendations , with 51 and 42 eur price targets respectively .",broker initiate Palfinger AG Konecranes OYJ ` buy recommendation eur price target respectively
positive,"The buyer aims to thus reinforce its position in Denmark , Martela Group managing director Heikki Martela said .",buyer aim thus reinforce position Denmark Martela Group managing director Heikki Martela say
positive,The companies have agreed on long-term cooperation to mechanise harvesting in Stora Enso 's eucalyptus plantations in Southern China .,company agree longterm cooperation mechanise harvesting Stora Enso eucalyptus plantation Southern China
positive,The company aims to maintain this trend in profitability during the current year .,company aim maintain trend profitability current year
positive,The company also said that in Poland a profitability program has been launched at the Oborniki steel frame and sandwich panel plant .,company also say Poland profitability program launch Oborniki steel frame sandwich panel plant
positive,"The company has established a 3G base station at about 17,000 feet at the foot of Mount Everest that will enable mountain climbers at the 29,035-foot summit to surf the Internet and even send videos of their exploits .",company establish g base station foot foot Mount Everest enable mountain climber foot summit surf internet even send video exploit
positive,The company is also featured in the Ethibel Pioneer Investment Register and included in Innovest 's Global 100 list of the world 's most sustainable corporations .,company also feature Ethibel Pioneer Investment Register include Innovest Global list world sustainable corporation
positive,"The company 's goal is to achieve annual savings of EUR 2 million ( USD 2.7 m ) , of which two thirds are to be realized in 2010 .",company goal achieve annual saving EUR million USD two third realize
positive,The company said it observed a current stabilisation in prices and there is potential for higher prices for deliveries in the first quarter of 2011 .,company say observe current stabilisation price potential high price delivery first quarter
positive,The company will also be compensated for acting as a reserve batch plant .,company also compensate act reserve batch plant
positive,The Group also has a strong global position in other fishing categories .,Group also strong global position fishing category
positive,The Group 's cash flow from operations will be positive .,Group cash flow operation positive
positive,The mill has long traditions and holds an established position in the markets .,mill long tradition hold establish position market
positive,"The move is aimed at boosting sales , cost-efficiency and market share in Finland .",move aim boost sale costefficiency market share Finland
neutral,The newspapers of Alma Media and Arena Partners will enter a cooperation agreement on using Alma 's marketplace services in their respective regions .,newspaper Alma Media Arena Partners enter cooperation agreement use Alma marketplace service respective region
positive,"The original name Componenta +_m+_l , as a subsidiary of the Finnish Componenta Group , has been changed to +_m+_l Components and the company has seen a 63 % growth in Q1 2010 , in comparison to Q1 2009 .",original name Componenta _ m_l subsidiary Finnish Componenta Group change _ m_l Components company see growth Q comparison Q
positive,The parties have also agreed on options that allow UH to extensively implement later on also functionalities of human resources management .,party also agree option allow UH extensively implement later also functionality human resource management
positive,"The pilot project proved that RIFD technology is ideal for our purposes '' , comments Olli Saarinen , Material Handling Supervisor at Yara .",pilot project prove RIFD technology ideal purpose comment Olli Saarinen Material Handling Supervisor Yara
positive,"The planned facility , estimated to cost around $ 814 million , would be the largest biodiesel plant in the world , and use palm oil certified by the Roundtable on Sustainable Palm Oil ( RSPO ) .",planned facility estimate cost around million would large biodiesel plant world use palm oil certify Roundtable Sustainable Palm Oil RSPO
positive,This combined with foreign investments creates interesting opportunities for Solteq .,combine foreign investment create interesting opportunity Solteq
positive,"This is Done Logistics ' largest order in Norway , the diversified group said .",Done Logistics large order Norway diversified group say
positive,This resulted in improved sales figures in Sweden .,result improve sale figure Sweden
neutral,"To choose BasWare as the tools for our Financial Service seemed like a natural continuation of our cooperation '' , says Tommi Leskinen , Financial Applications Manager , Neste Oil Corporation .",choose BasWare tool Financial Service seem like natural continuation cooperation say Tommi Leskinen Financial Applications Manager Neste Oil Corporation
positive,"Under the agreement GeoSentric will provide GyPSii-powered hotel information and reservation services to visitors to China , including such popular cities as Beijing and Shanghai .",agreement GeoSentric provide GyPSiipowered hotel information reservation service visitor China include popular city Beijing Shanghai
positive,"Vaisala also said it expects net sales of EUR 253.2 million for 2010 , compared with EUR 252.2 million recorded in 2009 .",Vaisala also say expect net sale EUR million compare EUR million record
positive,Validating our fgVoIP client through Symbian Signed represents a significant step forward in accomplishing this goal .,validate fgvoip client Symbian Signed represent significant step forward accomplish goal
positive,"Wartsila won the contract in October 2007 and the plant will be installed at Manturovo in the Kostroma region of Russia , about 600 km northeast of Moscow , Russia .",Wartsila win contract October plant instal Manturovo Kostroma region Russia km northeast Moscow Russia
positive,"We are honored to be recognized by Gartner as a specialist in Business Process Modeling and Analysis , in the company of many of the largest software vendors in the world .",honor recognize Gartner specialist Business Process Modeling Analysis company many large software vendor world
positive,We are now in a position to pursue novel clinical candidates going forward . '',position pursue novel clinical candidate go forward
positive,- UPM-Kymmene upgraded to ` in-line ' from ` underperform ' by Goldman Sachs .,UPMKymmene upgrade ` inline ` underperform Goldman Sachs
positive,`` Consumers have very well received our packed fresh meat .,` ` consumer well receive packed fresh meat
positive,`` Demand for sports equipment was good in 2005 .,` ` demand sport equipment good
positive,"`` Last year , Finnair recorded a 32.6-percent growth on the Asian sector , carrying more than 1.10 million passengers between the two continents . ''",` ` last year Finnair record percent growth asian sector carry million passenger two continent
positive,`` The additional flight linking Mumbai with Helsinki was dictated by the strong traffic demand between Asia and Europe .,` ` additional flight link Mumbai Helsinki dictate strong traffic demand Asia Europe
positive,`` The lowering of prices by us and by our competitors shows that the real estate market has stabilised and returned into balance and apartments are acquiring a fair price in the eyes of our clients .,` ` lowering price us competitor show real estate market stabilise return balance apartment acquire fair price eye client
positive,"`` The new structure provides better communication , faster decision-making and cost savings , '' Proha said .",` ` new structure provide well communication fast decisionmaking cost saving Proha say
positive,"`` This contract demonstrates our ability to apply our minerals and metals technologies in adjacent industries , such as oil shale processing .",` ` contract demonstrate ability apply mineral metal technology adjacent industry oil shale processing
positive,`` We are pleased to deliver the Basware Invoice Automation solution to a major retail company in the US .,` ` pleased deliver Basware Invoice Automation solution major retail company US
positive,"`` We have tailored our solutions to meet Solel 's technical requirements , and the result is both cost-effective manufacturing and highest-quality reflectors . ''",` ` tailor solution meet Solel technical requirement result costeffective manufacturing highestquality reflector
positive,`` We 've been feeling quite positive about the region as a whole .,` ` feel quite positive region whole
positive,21 December 2010 - Finnish industrial machinery company Wartsila Oyj Abp HEL : WRT1V said yesterday it had won an order to design a liquefied natural gas LNG powered platform supply vessel PSV for Norwegian oil service provider Eidesvik Offshore ASA OSL : EIOF .,December finnish industrial machinery company Wartsila Oyj Abp HEL WRTV say yesterday win order design liquefy natural gas lng power platform supply vessel PSV norwegian oil service provider Eidesvik Offshore ASA OSL EIOF
positive,Finlan 's listed food industry company HKScan Group controlled companies in the Baltics improved revenues by EUR 3.5 mn to EUR 160.4 mn in 2010 from EUR 156.9 mn in the year before .,finlan list food industry company HKScan Group control company Baltics improve revenue EUR mn EUR mn EUR mn year
positive,"Finnish airline Finnair has won a deal with the UK public sector to be the official airline for flights from London Heathrow to Osaka in Japan , as well as flights between Manchester in the UK and Helsinki in Finland .",finnish airline Finnair win deal UK public sector official airline flight London Heathrow Osaka Japan well flight Manchester UK Helsinki Finland
positive,Finnish Cargotec has been awarded a significant order for a total of 292 Hiab loader cranes by BAE Systems in the US .,Finnish Cargotec award significant order total Hiab loader crane BAE Systems US
positive,Finnish Cargotec 's Kalmar has received a significant order from the US Department of Defense .,Finnish Cargotec Kalmar receive significant order US Department Defense
positive,Finnish Outotec has been awarded a contract to supply a new zinc roaster with gas cleaning and sulphuric acid plant for the OZK Kardzhali zinc smelter in Bulgaria .,Finnish Outotec award contract supply new zinc roaster gas cleaning sulphuric acid plant OZK Kardzhali zinc smelter Bulgaria
positive,"Finnish P+¦yry has been awarded an engineering contract by CFR , the national railway company of Romania .",Finnish Pyry award engineering contract CFR national railway company Romania
positive,"According to a report by Neomarkka , Kuitu Finland 's customers are interested in buying the company 's products when it restarts production .",accord report Neomarkka Kuitu Finland customer interested buy company product restart production
positive,"As a result , the distribution companies will start to distribute , in addition to their current product offering , Shimano reels , rods and other Shimano fishing tackle products on an exclusive basis .",result distribution company start distribute addition current product offer Shimano reel rod Shimano fishing tackle product exclusive basis
positive,Cargotec Germany GmbH has been awarded a contract by Stadtverwaltung Mainz for chassis bodies under Open procedure .,Cargotec Germany GmbH award contract Stadtverwaltung Mainz chassis body open procedure
positive,CEO Erkki J+Ærvinen is happy with the company 's performance in 2010 .,CEO Erkki Jrvinen happy company performance
positive,Deliveries have started and the network will be ready for a launch soon .,delivery start network ready launch soon
positive,"Earnings per share for the quarter were also higher year-on-year at 0.33 eur versus 0.27 , and above market expectations of 0.28 eur .",earning per share quarter also high yearonyear eur versus market expectation eur
positive,"EBITDA for the year 2009 improved to EUR484m , as compared with EUR472m in 2008 .",EBITDA year improve EURm compare EURm
positive,"Estonian telecoms company Elisa 's customer numbers cross 400,000 TALLINN , Oct 22 , BNS - The Estonian telecommunications company Elisa won approximately 50,000 new clients in the nine months of this year , bringing the number to 401,800 by the end of September , the company said .",estonian telecoms company Elisa customer number cross TALLINN Oct BNS estonian telecommunication company Elisa win approximately new client nine month year bring number end September company say
positive,"Exel Composites ' long-term growth prospects remain favourable , however .",Exel Composites longterm growth prospect remain favourable however
positive,fi is developing cooperation in keyword advertising with Microsoft .,fi develop cooperation keyword advertising Microsoft
positive,"Finnish construction group Lemminkainen Oyj HEL : LEM1S said today it has won a contract to provide technical services for the Nevsky Centre shopping mall to be opened in November in St Petersburg , Russia .",finnish construction group Lemminkainen Oyj HEL LEMS say today win contract provide technical service Nevsky Centre shopping mall open November St Petersburg Russia
positive,Finnish mobile operator DNA will function as a subcontractor to Maingate and will be responsible for telecommunications connections .,finnish mobile operator dna function subcontractor Maingate responsible telecommunication connection
positive,"Finnish software developer Basware Oyj said on November 30 , 2006 its U.S. subsidiary Basware , Inc. won an order to provide software for contract lifecycle management to an unnamed U.S. medical technology company .",finnish software developer Basware Oyj say November youS subsidiary Basware Inc win order provide software contract lifecycle management unnamed youS medical technology company
neutral,"Honka 's subsidiaries in France and Germany will also benefit by , for example , arranging customer events in conjunction with World Cup skiing competitions .",Honka subsidiary France Germany also benefit example arrange customer event conjunction World Cup skiing competition
positive,"However , sales volumes in the food industry are expected to remain at relatively good levels in Finland and in Scandinavia , Atria said .",however sale volume food industry expect remain relatively good level Finland Scandinavia Atria say
positive,Incap and Lankapaja aim to enter into actual agreement to transfer the sheet-metal production to the buyer in February in order to complete the transfer on 1 March 2011 .,Incap Lankapaja aim enter actual agreement transfer sheetmetal production buyer February order complete transfer March
positive,Mr Kivimeister said John Deer former Timberjack stands to win in the situation : it controls around 60 % of Estonia 's forest machinery market .,Mr Kivimeister say John Deer former Timberjack stand win situation control around Estonia forest machinery market
positive,Nokia and Elisa will work together to bring a superior mobile gaming experience for Elisa customers .,Nokia Elisa work together bring superior mobile gaming experience Elisa customer
positive,Nordea sees a return to positive growth for the Baltic countries in 2011 .,Nordea see return positive growth baltic country
positive,Operating profit improved by 16.7 % to EUR 7.7 mn .,operate profit improve EUR mn
positive,Operating profit improved by 39.9 % to EUR 18.0 mn from EUR12 .8 mn .,operate profit improve EUR mn EUR mn
positive,Operating profit improved by 44.0 % to ER 4.7 mn from EUR 3.3 mn in 2004 .,operate profit improve ER mn EUR mn
positive,Operating profit improved to EUR 20.3 mn from EUR 11.4 mn .,operate profit improve EUR mn EUR mn
positive,Outokumpu 's chief executive Juha Rantanen expressed his confidence in China market .,outokumpu chief executive Juha Rantanen express confidence China market
positive,"Previously , the company anticipated its operating profit to improve over the same period .",previously company anticipate operating profit improve period
positive,Productional situation has now improved .,productional situation improve
positive,Rautaruukki said construction group YIT has awarded it a 2.5 mln eur contract to supply the steel structures for a new bridge spanning the Kemijoki river in Northern Finland .,Rautaruukki say construction group YIT award mln eur contract supply steel structure new bridge span Kemijoki river Northern Finland
positive,"Sales came in at 241 mln eur , compared with 211.4 mln , and also beating consensus forecasts of 235 mln eur .",sale come mln eur compare mln also beat consensus forecast mln eur
positive,"Sales VAT inclusive expanded by 19 percent , to 351 million euros .",sale VAT inclusive expand percent million euro
positive,Strong growth has continued also in China .,strong growth continue also China
positive,Synergy benefits will start to materialise in the second quarter .,synergy benefit start materialise second quarter
positive,Teleste and Sentry 360 have formed an integration partnership between Sentry s advanced 360-degree immersive camera product line and Teleste s enterprise video management systems .,Teleste Sentry form integration partnership Sentry advanced degree immersive camera product line Teleste enterprise video management system
positive,"Thanks to the multiplying effect of wagon performance , transport will be much more efficient , '' says development manager Juha Malkia from VR Cargo .",thank multiplying effect wagon performance transport much efficient say development manager Juha Malkia VR Cargo
positive,The ` buy ' recommendation was reiterated .,` buy recommendation reiterate
positive,The aim is to achieve EUR 2.5 mn yearly savings .,aim achieve EUR mn yearly saving
positive,The borrower was happy to do the roadshow and this paid off as the hit ratio from it was high .,borrower happy roadshow pay hit ratio high
positive,"The company , which makes garden tools , scissors and other consumer goods , said earnings were boosted by 6.9 mln eur of income it received from its 16.7 pct shareholding in Finnish engineering group Wartsila .",company make garden tool scissor consumer good say earning boost mln eur income receive pct shareholding finnish engineering group Wartsila
positive,The company anticipates its turnover for the whole 2010 to surpass that of the previous year when it was EUR 67.1 million .,company anticipate turnover whole surpass previous year EUR million
neutral,The company negotiated an amendment to the financial covenants of the present credit agreements in regard to the situation on 30 September 2010 .,company negotiate amendment financial covenant present credit agreement regard situation September
positive,The EPS improved to EUR0 .38 from EUR0 .27 .,EPS improve EUR EUR
positive,The expansion aims to attract new customers both in Finland and abroad .,expansion aim attract new customer Finland abroad
positive,The Federal Secretary for Transport and Communication of Mexico has awarded Poyry and its Mexican partner Sintra a consulting contract in connection with the Buenavista-Cuautitlan suburban railway .,Federal Secretary Transport Communication Mexico award Poyry mexican partner Sintra consulting contract connection BuenavistaCuautitlan suburban railway
positive,"The financial impact is estimated to be an annual improvement of EUR2 .0 m in the division 's results , as of fiscal year 2008 .",financial impact estimate annual improvement EUR division result fiscal year
positive,"The financial impact is estimated to be some 1.5 MEUR annual improvement in the division 's result , starting from fiscal year 2007 .",financial impact estimate MEUR annual improvement division result start fiscal year
positive,The Finnish group anticipates a sales gain of EUR42m after tax and expenses .,finnish group anticipate sale gain EURm tax expense
positive,"The launch of the plant in June went well , and it has been producing the advanced fuel for a couple of weeks .",launch plant June go well produce advanced fuel couple week
positive,The parties have agreed to negotiate definitive distribution and license agreements by the end of June 2010 .,party agree negotiate definitive distribution license agreement end June
positive,The rationalization of the operations seeks to achieve over EUR 1 million in yearly savings as from the second quarter of the current financial year .,rationalization operation seek achieve EUR million yearly saving second quarter current financial year
positive,"The sale , which will result in a gain of some EUR 60 million in the second quarter of 2010 for Oriola-KD , supports the Finnish company 's strategy to focus on pharmaceutical wholesale and retail operations .",sale result gain EUR million second quarter OriolaKD support finnish company strategy focus pharmaceutical wholesale retail operation
positive,The stock of new machines is reasonably small and new orders bring work .,stock new machine reasonably small new order bring work
positive,The third order awarded to Outokumpu Technology is by Shalkiya Zinc of Kazakhstan for the Shalkiya zinc-lead project in Kazakhstan .,third order award Outokumpu Technology Shalkiya Zinc Kazakhstan Shalkiya zinclead project Kazakhstan
positive,These companies will be able to keep their market positions .,company able keep market position
positive,This acquisition supports our strategy of being close to our customers all around the world offering both equipment and related services .,acquisition support strategy close customer around world offer equipment related service
neutral,This lays a foundation for sustainable business development for the long term .,lay foundation sustainable business development long term
positive,"Turun kaupunkin , Finland based company has awarded contract to Lemminkainen Talotekniikka Oy for electrical installation work .",Turun kaupunkin Finland base company award contract Lemminkainen Talotekniikka Oy electrical installation work
positive,The world 's biggest magazine paper maker said the program to improve efficiency will include closing several of its least competitive mills and would cover all the company 's operations resulting in annual savings of some euro200 million US$ 240 million .,world big magazine paper maker say program improve efficiency include close several least competitive mill would cover company operation result annual saving euro million US million
positive,These moderate but significant changes resulted in a significant 24-32 % reduction in the estimated CVD risk .,moderate significant change result significant reduction estimate CVD risk
positive,Uponor improved its performance in spite of the decrease in residential construction in the US .,Uponor improve performance spite decrease residential construction US
neutral,The inventor was issued U.S. Patent No. .,inventor issue youS Patent no
positive,"Israeli cable network operator HOT Telecom has chosen Teleste , an international technology group , as its exclusive provider of FTTx equipment in Israel , according to Teleste today .",israeli cable network operator HOT Telecom choose Teleste international technology group exclusive provider FTTx equipment Israel accord Teleste today
neutral,Incap Corporation Stock Exchange Release 4 May 2010 at 8.30 a.m. INCAP CORPORATION 'S DIRECTED SHARE ISSUE WAS SUBSCRIBED IN FULL The Board of Incap Corporation has approved the subscriptions of directed share issue .,Incap Corporation Stock Exchange Release May INCAP corporation direct share issue subscribe FULL Board Incap Corporation approve subscription direct share issue
neutral,"Amer Sports divests an industrial site in Rumilly , France -  This announcement is distributed by Thomson Reuters on behalf of Thomson Reuters clients .",Amer Sports divest industrial site Rumilly France announcement distribute Thomson Reuters behalf Thomson Reuters client
neutral,"Simultaneously , his responsibility area is extended from legal affairs to cover also mergers and acquisitions .",simultaneously responsibility area extend legal affair cover also merger acquisition
neutral,The Board of Directors has proposed the Extraordinary General Meeting to authorise the Board to decide on the issuance of a maximum of 30mn new shares in one or more share issues .,Board Directors propose Extraordinary General Meeting authorise Board decide issuance maximum mn new share one share issue
neutral,`` BG Crane has been a strong partner for Hiab in Australia for many years .,` ` BG Crane strong partner Hiab Australia many year
neutral,"Once your plants are in the ground they will continue to grow , but the success of any garden lies in how well it 's maintained .",plant ground continue grow success garden lie well maintain
neutral,"The purchase of sites worth 300 million in the Thames Gateway will provide more than 1,200 homes .",purchase site worth million Thames Gateway provide home
neutral,"Poyry 's contract includes engineering management , civil and detail engineering services , and time scheduling and procurement services .",poyry contract include engineering management civil detail engineering service time scheduling procurement service
neutral,"The Group brand portfolio includes the leading brand in the industry , Rapala , and other global brands like VMC , Storm , Blue Fox , Luhr Jensen , Williamson , Marttiini and Sufix .",Group brand portfolio include lead brand industry Rapala global brand like VMC Storm Blue Fox Luhr Jensen Williamson Marttiini Sufix
neutral,"It 's `` finger-friendly '' , and to my opinion , really fast .",` ` fingerfriendly opinion really fast
neutral,"`` Thanks to my Nokia and Lulu , I am now proud to be a published His novel can be found here .",` ` thank Nokia Lulu proud publish novel find
neutral,"`` The summer collection 2008 will be joyfully fresh like a vitamin injection , '' said H&M 's head of design Margareta van den Bosch .",` ` summer collection joyfully fresh like vitamin injection say HM head design Margareta van den Bosch
neutral,"A maximum of 20 employees , who work in Karttakeskus and are responsible for producing Geographic Information Services , will be affected , the company added .",maximum employee work Karttakeskus responsible produce Geographic Information Services affect company add
positive,"About Marubeni Marubeni Corporation TSE : 8002 ; ADR : MARUY was established in 1858 , and is a core company of Marubeni Group , one of Japan 's leading general trading houses .",Marubeni Marubeni Corporation TSE ADR MARUY establish core company Marubeni Group one Japan lead general trading house
neutral,"ABOUT MIDNIGHTTRADER : MidnightTrader is the premier source of extended-hours US equity trading analysis , news and forecasting for the retail and institutional investment community .",MIDNIGHTTRADER MidnightTrader premier source extendedhour US equity trading analysis news forecasting retail institutional investment community
neutral,Juha-Pekka Weckstr+¦m has been appointed President of telecom group TeliaSonera Finland to succeed Esa Rautalinko .,JuhaPekka Weckstrm appoint President telecom group TeliaSonera Finland succeed Esa Rautalinko
neutral,"According to Pietinalho , doctors should motivate their patients who smoke every time they visit their doctors .",accord Pietinalho doctor motivate patient smoke every time visit doctor
neutral,"According to the original merger plan , Scanfil would get a 79 % stake in the combined business .",accord original merger plan Scanfil would get stake combine business
neutral,"According to Ultrascan , with a software acquired from crackers , it has managed to change the mobile phone in a way that the phone was able to get hold of a one-time password sent by a bank via a text message .",accord Ultrascan software acquire cracker manage change mobile phone way phone able get hold onetime password send bank via text message
neutral,"Additionally , retailers can use the same hardware across all tasks in stores and throughout the warehouse , providing substantial savings on support and infrastructure costs .",additionally retailer use hardware across task store throughout warehouse provide substantial saving support infrastructure cost
neutral,"Addus ' services include personal care and assistance with activities of daily living , skilled nursing and rehabilitative therapies , and adult day care .",Addus service include personal care assistance activity daily live skilled nursing rehabilitative therapy adult day care
neutral,"Aldata Solution Oyj Bertrand Sciard President and CEO Further information : Aldata Solution Oyj , Bertrand Sciard , President and CEO , tel. +33 1 46 48 28 00 Aldata 100 % Retail-Wholesale At Aldata 100 % of our business is dedicated to retail and wholesale business improvement .",Aldata Solution Oyj Bertrand Sciard President CEO information Aldata Solution Oyj Bertrand Sciard President CEO tel Aldata RetailWholesale Aldata business dedicate retail wholesale business improvement
neutral,Alfa group will have 43.9 % of voting stock in the new company and Telenor 35.4 % with a free float of 20.7 % .,Alfa group vote stock new company Telenor free float
neutral,All are welcome .,welcome
neutral,Altogether 150 subjects with mildly elevated cholesterol levels participated in the four-month long intervention .,altogether subject mildly elevated cholesterol level participate fourmonth long intervention
neutral,"An additional amount , capped at EUR12m , is payable in cash upon the achievement of certain financial performance targets in 2007 .",additional amount cap EURm payable cash upon achievement certain financial performance target
neutral,"Arto Ryymin , born 1964 , will replace Juhani Kaisanlahti who has worked as acting EVP , Healthcare & Welfare since August 2007 .",Arto Ryymin bear replace Juhani Kaisanlahti work act EVP Healthcare Welfare since August
neutral,At CapMan Haavisto will be responsible for Group Finances and Accounting and IT .,CapMan Haavisto responsible Group Finances Accounting
positive,"By implementing the software the Finnish Army aims to unify and improve its operations in these application areas , QPR Software stated .",implement software finnish Army aim unify improve operation application area QPR Software state
neutral,"Cablevision Systems Corp. CVC Their Madison Square Garden division owns and operates the New York Knickerbockers basketball team ; they also own the Madison Square Garden Arena , the New York Rangers hockey team , the New York Liberty women 's basketball team , and the Hartford Wolf Pack hockey team .",Cablevision Systems Corp CVC Madison Square Garden division operate New York Knickerbockers basketball team also Madison Square Garden Arena New York Rangers hockey team New York Liberty woman basketball team Hartford Wolf Pack hockey team
neutral,"CapMan has six investment areas CapMan Buyout , CapMan Technology , CapMan Life Science , CapMan Russia , CapMan Public Market and CapMan Real Estate , and each of them has a dedicated team and funds .",CapMan six investment area CapMan Buyout CapMan Technology CapMan Life Science CapMan Russia CapMan Public Market CapMan real Estate dedicated team fund
neutral,"CapMan Plc Press Release 31 March 2008 Jukka Ruuska , President of the OMX Nordic Exchanges and the Stockholm Stock Exchange , will transfer to CapMan effective no later than September 2008 .",CapMan Plc Press Release March Jukka Ruuska President OMX Nordic Exchanges Stockholm Stock Exchange transfer CapMan effective no later September
neutral,"cents The profile contains business operations , the company history , major products and services , prospects , key competitors , structure and key employees , locations and subsidiaries .",cent profile contain business operation company history major product service prospect key competitor structure key employee location subsidiary
neutral,"Conference Call To participate via a conference call , please dial in 5-10 minutes before the beginning of the event : +44 0 20 7162 0025 Europe or +1 334-£323-£6201 USA .",conference call participate via conference call please dial minute beginning event Europe USA
neutral,Construction is scheduled to start in April-June 2007 and to be completed in early 2008 .,construction schedule start AprilJune complete early
neutral,"FinancialWire tm is a fully independent , proprietary news wire service .",FinancialWire tm fully independent proprietary news wire service
neutral,Finnish Civil Aviation Administration decided to temporarily reopen Finnish capital 's Helsinki airport since 3 p.m. to 11 p.m. Monday local time .,Finnish Civil Aviation Administration decide temporarily reopen finnish capital Helsinki airport since pm pm Monday local time
positive,"Fiskars , the World 's  1 Scissors Brand TM , recently won Learning - Magazine 's 2011 Teachers ' Choice Award for the Classroom .",fiskar World Scissors Brand TM recently win Learning Magazine Teachers Choice Award classroom
